Unique,Customer ID,Country,Gender,Birthday
1,00100001,124,0,10-May-04
2,00700002,840,0,26-Feb-01
3,02900003,840,0,13-May-96
4,07200004,840,0,8-Sep-02
5,03000005,840,0,7-Feb-97
6,03500006,124,0,18-Sep-01
7,03200007,124,0,30-Jul-82
8,07500008,840,0,18-Dec-00
9,09400009,840,0,29-Aug-86
10,07910010,840,1,25-Aug-82
11,03700011,840,0,25-Dec-93
12,03300012,840,0,11-Jan-04
13,09700013,840,0,9-May-94
14,07410014,840,1,21-Sep-93
15,00700015,840,0,25-Nov-92
16,05300016,840,0,2-Mar-02
17,00500017,840,0,5-Nov-02
18,03500018,840,0,5-Sep-88
19,05210019,840,1,2-Mar-79
20,00310020,840,1,13-May-70
21,04900021,840,0,1-Feb-00
22,00500022,840,0,3-Sep-72
23,01810023,840,1,17-Feb-86
24,02410024,840,1,3-May-75
25,00310025,840,1,9-Jan-97
26,05400026,840,0,11-Feb-74
27,06910027,840,1,18-Jul-01
28,06100028,124,0,31-Dec-88
29,04700029,840,0,16-Mar-97
30,07310030,840,1,24-Sep-89
31,02500031,840,0,9-Jun-02
32,04600032,124,0,28-Sep-93
33,00910033,840,1,4-Apr-03
34,06500034,840,0,19-Jun-97
35,03500035,840,0,13-Jul-89
36,09300036,840,0,9-Mar-04
37,09810037,840,1,9-Oct-96
38,09600038,840,0,9-Aug-00
39,00300039,840,0,6-Aug-03
40,07520040,840,2,31-May-95
41,08100041,840,0,14-May-03
42,02600042,840,0,9-Mar-80
43,01200043,840,0,28-Jan-02
44,00600044,840,0,10-Jan-75
45,06400045,840,0,27-Jan-67
46,02700046,840,0,1-Jun-78
47,02300047,840,0,23-Oct-92
48,06000048,840,0,26-Feb-75
49,08700049,840,0,22-Jul-02
50,03600050,840,0,23-Dec-03
51,00300051,124,0,14-Sep-91
52,04520052,840,2,21-Sep-92
53,05600053,840,0,11-Oct-04
54,05500054,840,0,15-Nov-96
55,03700055,124,0,28-Jan-96
56,01510056,840,1,7-Jul-70
57,06300057,840,0,30-Mar-96
58,06810058,840,1,27-Mar-00
59,02900059,840,0,29-Oct-01
60,02400060,840,0,4-Aug-89
61,03700061,124,0,27-Aug-96
62,09000062,840,0,11-Jun-95
63,06310063,840,1,30-Sep-04
64,01010064,840,1,25-Oct-78
65,00600065,840,0,21-May-95
66,07510066,840,1,8-Mar-73
67,03900067,124,0,14-Jun-96
68,06200068,840,0,23-Feb-04
69,04200069,840,0,5-Nov-80
70,09610070,840,1,21-Jan-00
71,02500071,840,0,20-Nov-02
72,03010072,840,1,29-Jul-95
73,05600073,124,0,4-May-82
74,10000074,840,0,26-Dec-76
75,04000075,124,0,23-Jul-82
76,00500076,840,0,21-Jul-69
77,07900077,840,0,17-Nov-83
78,00000078,840,0,25-Jan-04
79,05700079,840,0,27-Jun-75
80,00710080,840,1,3-Jan-03
81,08700081,840,0,30-Nov-97
82,09100082,840,0,23-Jun-02
83,07510083,840,1,24-Mar-99
84,07600084,124,0,12-Dec-03
85,02500085,840,0,10-Oct-95
86,04500086,840,0,8-Dec-98
87,07000087,840,0,13-Jun-79
88,00000088,124,0,22-Nov-96
89,08420089,124,2,16-Feb-79
90,03400090,124,0,30-Dec-02
91,05710091,124,1,10-May-98
92,01800092,840,0,4-Sep-04
93,03700093,840,0,23-Mar-73
94,02400094,840,0,17-Aug-01
95,05300095,124,0,21-May-04
96,05300096,840,0,3-Oct-00
97,03300097,840,0,25-Oct-01
98,06600098,840,0,1-Apr-03
99,01500099,840,0,4-Sep-01
100,09300100,124,0,7-May-78
