Sequence,Order_Count,Order Number,N_Items,Order_Item,Status,Product_ID
1,1,000001,1,1,Complete,103060209
2,2,000002,8,1,Complete,201030402
3,2,000002,8,2,Complete,103040203
4,2,000002,8,3,Complete,101020503
5,2,000002,8,4,Complete,101040401
6,2,000002,8,5,Complete,201040303
7,2,000002,8,6,Complete,103010301
8,2,000002,8,7,Complete,201060202
9,2,000002,8,8,Complete,201020401
10,3,000003,8,1,Complete,102020705
11,3,000003,8,2,Complete,104010805
12,3,000003,8,3,Complete,101030804
13,3,000003,8,4,Complete,103020705
14,3,000003,8,5,Complete,203050603
15,3,000003,8,6,Complete,101040905
16,3,000003,8,7,Complete,104040703
17,3,000003,8,8,Complete,203050806
18,4,000004,2,1,Complete,204011007
19,4,000004,2,2,Complete,102050907
20,5,000005,6,1,Complete,102060508
21,5,000005,6,2,Complete,104030301
22,5,000005,6,3,Complete,104040201
23,5,000005,6,4,Complete,302060309
24,5,000005,6,5,Complete,104040309
25,5,000005,6,6,Complete,103040201
26,6,000006,6,1,Complete,104060403
27,6,000006,6,2,Complete,102030305
28,6,000006,6,3,Complete,103010205
29,6,000006,6,4,Complete,101040302
30,6,000006,6,5,Complete,103060404
31,6,000006,6,6,Complete,203040403
32,7,000007,1,1,Complete,103030701
33,8,000008,7,1,Complete,201040709
34,8,000008,7,2,Complete,204010508
35,8,000008,7,3,Complete,103060807
36,8,000008,7,4,Complete,103020607
37,8,000008,7,5,Complete,102030609
38,8,000008,7,6,Complete,102010609
39,8,000008,7,7,Complete,104040706
40,9,000009,3,1,Complete,102030109
41,9,000009,3,2,Complete,102061009
42,9,000009,3,3,Complete,201030110
43,10,000010,7,1,Complete,109060605
44,10,000010,7,2,Complete,110040806
45,10,000010,7,3,Complete,110020605
46,10,000010,7,4,Complete,110050903
47,10,000010,7,5,Complete,110050806
48,10,000010,7,6,Complete,104010605
49,10,000010,7,7,Complete,202020503
50,11,000011,2,1,Complete,203061008
51,11,000011,2,2,Complete,104041001
52,12,000012,3,1,Complete,102060805
53,12,000012,3,2,Complete,103050106
54,12,000012,3,3,Complete,104011008
55,13,000013,3,1,Complete,210010907
56,13,000013,3,2,Complete,210040907
57,13,000013,3,3,Complete,104010106
58,14,000014,8,1,Complete,204051007
59,14,000014,8,2,Complete,104020807
60,14,000014,8,3,Complete,210021005
61,14,000014,8,4,Complete,210041007
62,14,000014,8,5,Complete,104020805
63,14,000014,8,6,Complete,204040908
64,14,000014,8,7,Complete,204011007
