Comment,Comment
1,Not worth the money. Color is great and fits true to size but this cardigan is really thin and not warm at all
2,"Not for me, maybe I wanted to look like the model in the picture. I ordered S, but the dress is a bit loose at the bust. I think it would be ok if I was 20 :-("
3,Told to return the dress at my cost and that I would expect refund. Month later and still dealing with their incompetence. Color was fine. Material is cheap and loose strings everywhere.
4,Material was not what I expected and dress looks different in pictures. It is more form fitting and doesn’t cover your stomach from the side making you look big.
5,"Disappointed. It's more like a polyester 1950s tunic than a dress, it's loose on top with a tight fitting skirt which I found too short (and I'm 5'2""). I'll wear this as a top/tunic but not as a dress. Probably better on someone who has a bigger bust and small hip."
6,Size chart is way off - Dress doesn't fit well. It's very short. Bottom too tight and too big. Not even worth sending back.
7,"Honestly I am kinda of speechless. I don’t even know how to write this review and sound like a credible human being, but this dress smells like medicine. Like it stinks so bad like chemical drugs I am disgusted. I am sending it back "
8,This dress feels like the same material used to make Party City Halloween costumes.... super cheap quality... not impressed
9,"Bought this dress because of all the rave reviews. I should have known buying something so cheap would look... well... cheap. It fits - but it's actually not super forgiving on the bottom. I bought a white in Large, the white was a very blue-white (not so flattering) and it really only looked ok wearing it the strapless style. Might use it as a coverup but that's it. "
10,I love the colour of this dress but the material isn't the greatest. It clings to your muffin top . I ended up wearing it like a shirt instead to give it a bit of gathering around the stomach area to hide areas I am insecure about.
11,It’s a beautiful dress it keep on wanting to ride at the back of your shoulders though and when you walk it rides up past your thighs and ends up looking like a blouse. I would not buy this again. 
12,"This dress is made of poor quality material. it is as it appears in the picture , but fits a little bigger than I thought. Should be tighter around the body. The quality of material is very cheap. I probably would not buy again."
13,"Well....lookin wonderful when you don't move! But with every single step, dress moving up till your underwear is showing lol. Definitely not for an occassion when you wanna dance and move around. Refund requested."
14,"Ordered a size larger but it still looked like I squeezed into my teenagers dress.I don't recommend this product. It's not worth the price, time and headaches that come with returns. "
15,"The fabric for this dress, was transluscent. The dress was also too short, maybe I am just too tall. I like the options you have with how you wear this dress, so.... paired it with jeans and wear it as a shirt. Super cute."
16,I ordered this dress in lime green. It fit perfectly but my only issue is that the material looks super cheap in bright lighting. Almost like barbie doll material. The material that hangs down over the front conceals your abdomen area so you don't have to tuck in your stomach.
17,"It is a fancy long t-shirt, not so much a dress. Would I get one more for my wife? Maybe if she wanted something a bit more then a t with trousers to a parent-teacher conference or something like that. It is nice that it is soft and I do like that the fuschia on the picture is the fuschia I got. Also the size I ordered was xl and that is what I got. Over all this dress looks great for a smart dress-down time."
18,"I was not gifted with height this cute white dress is a little too short, I’m 5'. The skirt rides up and you always have to pull it down. Maybe a bigger size than small would have been a better choice for me. Using the dress as a shirt  was magnificent. The material is soft and see through if you use it as a dress. "
19,"The fabric on this dress is very elastic and revealing. It was delivered faster than expected. The dress came quick, early than expected. There was lose thread in some parts of the dress straight from the packaging. I should have orderd a size smaller, my usual medium was too big."
20,"I just got this dress and couldn't wait to try it. Love the top part but the skirt is too tight, short and see-through (ordered white) for my  age  - late 40s! BUT, I tucked the skirt in & up to my bra and it serves as a great tummy controlled top outfit. I'm curious if the other colors are less see-through but regardless, I'm going to get lots of wear out of this top!"
21,The lining of the dress was dangling immediately after opening the package and I was disappointed. The dress fits perfectly just like in the pictures. The sizes were acurate and the material was thinning.  
22,I wear a small and orderd a small but it was way too tight but it was very pretty though. The photos make it seem like the material is similar to stretchy undergarment fabric. This is not at all what I was expecting. The top piece of the dress material is tinier than the picture as well. 
23,The fit for this dress was great but looked horrendous on my body. This is not the material for you if you are on the bigger side because it shows everything. The azure colour was really nice though.
24,This is a great little dress! It has tons of stretch so super comfy. The only thing is the photo shows a pencil skirt when it actually is gathered on each side of the skirt so it does rise a bit on the sides but still looks great! It's lovely that yu can adjust the height of the dress 
25,"I absolutely like the top half of this dress. However, the elastic gathering of the skirt part of the dress is a huge boooo. It makes the length too short and slides up your body when you walk. Perhaps this would have been solved by having a bigger bum. If the dress stayed put, this would have been a favorite of mine.  I will not return it, I will try to make it work with jeggings. "
26,"Amazing dress, true to description and picture. Fits perfectly well and I people always say nice stuff  when I have it on. "
27,"Good dress, very pretty shade of grey. It seems thick and will be uncomfortable in the heat. Order one size smaller!"
28,"This dress is fabulous. Is it the best made piece of clothing I've ever owned? Nope. But wow. It's flattering, forgiving, and fashionable. Superfancy material, it's way fanc than I anticipated. I was worried it would cling to my bumps but it ended up being really nice. Can be worn in several styles. Only downside is that it did not have labels for the brand or laundry steps. "
29,"ADORE the color magenta on the dress! Really unique magenta color. My complexion is snow white,  I ordered the brown too and it was a perfect fit and it seemed way lighter!  I was amazed by it. Brown seems thinner and conceals my stomach more than the magenta? I'm 6', 275, 47F. May have to return. Perhaps if I order a bigger one, it will have more material to cover my stomach. The two of them are just great!"
30,I bought this dress in purple and it was delivered it to me really fast and right on time for me to wear it to a work cocktail event! I love that it covers your tummy completely! The only bad things I can say is that it slides up so you have to wear it with pants lest you get in the business of constantly adjusting it. 
31,"Dress delivered timeously - wasn’t expecting that. You get waht you pay for; for the cheap price, the fabric was thin. The photos dont lie but order a regular if you like your clothes tight and a large for a more comfortable and relaxed look.  "
32,"This dress is fabulous. Is it the best made piece of clothing I've ever owned? Nope. But wow. It's flattering, forgiving, and fashionable. Superfancy material, it's way fanc than I anticipated. I was worried it would cling to my bumps but it ended up being really nice. Can be worn in several styles. Only downside is that it did not have labels for the brand or laundry steps. "
33,Great little dress overall....a bit on the big side not humpty dumpty big though. Super stretchy and comfortable
34,"I am 5’7” and weigh 250. Oh, I am also in my late 50s and very gifted with big boobs. I bought the dress thinking if it is too short I can wear it as a shirt. I ordered the pink medium. It fits like hand and glove. Originally the length will be past the knee but the minute I start walking, it starts to ride up. The skirt bunches on the sides by design. The fabric is thicc and elastic which leaves some allowance for my big tummy. Product was delivered fast. I will wear it to a date with boyfriend, I feel sexy in it. "
